ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE,TIPO_ESTADIA_PREDOMINANTE,ANIO,MES
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,LOCAL,ADULTO MAYOR,20220731,262,0,0,20240527,1 día,2022,7
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,NACIONAL,ADULTO MAYOR,20220731,37,0,0,20240527,1 día,2022,7
RN del Titicaca,Titino,PUNO,HUANCANE,HUANCANE,210601.0,EXTRANJERO,ADULTO,20230531,105,0,0,20240527,1 día,2023,5
SH Machupicchu,Acceso Amazónico,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,MENOR,20230531,29,0,0,20240527,1 día,2023,5
RN Tambopata,Malinowsky,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,ADULTO,20220731,679,53,207,20240527,1 día,2022,7
SH Machupicchu,Acceso Amazónico,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,INFANTE,20230430,2,0,0,20240527,1 día,2023,4
"RN Sistema de Islas, Islotes y Puntas Guaneras",Punta Coles,No especificado,No especificado,No especificado,0.0,LOCAL,ADULTO,20221031,36,0,0,20240527,1 día,2022,10
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Ballestas,No especificado,No especificado,No especificado,0.0,LOCAL,ADULTO,20221231,665,0,0,20240527,1 día,2022,12
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,LOCAL,MENOR,20221130,60,0,0,20240527,1 día,2022,11
PN Huascarán,Purhuay,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,MENOR,20230228,59,0,0,20240527,1 día,2023,2
RVS Los Pantanos de Villa,No especificado,LIMA,LIMA,CHORRILLOS,150108.0,LOCAL,ADULTO MAYOR,20230131,26,0,0,20240527,1 día,2023,1
RP Nor Yauyos-Cochas,Sureste,LIMA,YAUYOS,HUANCAYA,151014.0,EXTRANJERO,ADULTO,20230731,68,106,0,20240527,2 a 3 días,2023,7
PN Huascarán,Carpa,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,ADULTO MAYOR,20230630,142,0,0,20240527,1 día,2023,6
PN de Tingo María,Tres de Mayo,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,LOCAL,ADULTO,20220228,65,0,0,20240527,1 día,2022,2
PN Huascarán,Llaca,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20220731,320,0,0,20240527,1 día,2022,7
PN Huascarán,Ulta,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,ADULTO,20220731,1401,0,0,20240527,1 día,2022,7
SN de Ampay,No especificado,APURIMAC,ABANCAY,TAMBURCO,30109.0,EXTRANJERO,ADULTO,20230831,17,0,0,20240527,1 día,2023,8
PN Huascarán,Ulta,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,MENOR,20230630,71,0,0,20240527,1 día,2023,6
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,NACIONAL,ADULTO MAYOR,20221031,6,0,0,20240527,1 día,2022,10
RN Tambopata,La Torre,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,MENOR,20221130,4,0,0,20240527,1 día,2022,11
SH Machupicchu,Ruta 01,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,ADULTO,20221031,0,0,3927,20240527,3 a 30 días,2022,10
PN del Manu,Pusharo,MADRE DE DIOS,MANU,MANU,170201.0,NACIONAL,ADULTO,20221130,2,0,0,20240527,1 día,2022,11
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Cavinza e Islotes Palomino,No especificado,No especificado,No especificado,0.0,NACIONAL,ADULTO,20231130,374,0,0,20240527,1 día,2023,11
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Cavinza e Islotes Palomino,No especificado,No especificado,No especificado,0.0,EXTRANJERO,MENOR,20230930,13,0,0,20240527,1 día,2023,9
SH Machupicchu,RCI Ruta 14,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,ADULTO MAYOR,20231130,0,0,3,20240527,3 a 30 días,2023,11
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,NACIONAL,INFANTE,20221231,15,0,0,20240527,1 día,2022,12
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,LOCAL,ADULTO MAYOR,20220630,27,0,0,20240527,1 día,2022,6
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,NACIONAL,INFANTE,20220731,242,0,0,20240527,1 día,2022,7
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,EXTRANJERO,ADULTO,20220531,101,101,0,20240527,1 día,2022,5
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,EXTRANJERO,ADULTO,20221231,35,0,0,20240527,1 día,2022,12
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,NACIONAL,ADULTO MAYOR,20220531,6,0,0,20240527,1 día,2022,5
ZR Sierra del Divisor,No especificado,UCAYALI,CORONEL PORTILLO,CALLERIA,250101.0,LOCAL,MENOR,20230331,79,0,0,20240527,1 día,2023,3
PN Huascarán,Llaca,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,ADULTO,20231130,46,0,0,20240527,1 día,2023,11
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,NACIONAL,ADULTO MAYOR,20230930,1,0,0,20240527,1 día,2023,9
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,NACIONAL,ADULTO,20221031,266,0,0,20240527,1 día,2022,10
RN del Titicaca,Uros Chulluni,PUNO,HUANCANE,HUANCANE,210601.0,EXTRANJERO,ADULTO,20231031,145,0,0,20240527,1 día,2023,10
SN de Calipuy,Mirador Puya Raimondi,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,131001.0,NACIONAL,ADULTO,20230731,12,19,0,20240527,2 a 3 días,2023,7
RN San Fernando,No especificado,ICA,NASCA,CHANGUILLO,110302.0,EXTRANJERO,ADULTO,20230831,16,0,0,20240527,1 día,2023,8
PN Huascarán,Llaca,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20231130,67,55,0,20240527,1 día,2023,11
RN Pacaya-Samiria,Samiria,LORETO,LORETO,PARINARI,160302.0,EXTRANJERO,ADULTO MAYOR,20221130,36,32,0,20240527,1 día,2022,11
RN Tambopata,Malinowsky,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,MENOR,20220630,63,9,16,20240527,1 día,2022,6
PN Huascarán,Ulta,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,ADULTO,20230430,1192,4,0,20240527,1 día,2023,4
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,INFANTE,20230331,1,0,0,20240527,1 día,2023,3
BP Alto Mayo,Urcuchaqui,SAN MARTIN,RIOJA,PARDO MIGUEL,220805.0,LOCAL,ADULTO,20230731,59,0,0,20240527,1 día,2023,7
ZR Sierra del Divisor,No especificado,UCAYALI,CORONEL PORTILLO,CALLERIA,250101.0,NACIONAL,ADULTO,20220331,128,0,0,20240527,1 día,2022,3
ZR Sierra del Divisor,No especificado,UCAYALI,CORONEL PORTILLO,CALLERIA,250101.0,LOCAL,MENOR,20220531,60,0,0,20240527,1 día,2022,5
RN del Titicaca,Titino,PUNO,HUANCANE,HUANCANE,210601.0,EXTRANJERO,ADULTO,20231031,529,0,0,20240527,1 día,2023,10
RP Nor Yauyos-Cochas,No especificado,LIMA,YAUYOS,HUANCAYA,151014.0,EXTRANJERO,ADULTO,20220831,78,0,0,20240527,1 día,2022,8
PN Yanachaga-Chemillén,San Alberto,PASCO,OXAPAMPA,PALCAZU,190304.0,EXTRANJERO,ADULTO,20220331,4,0,0,20240527,1 día,2022,3
RVS Los Pantanos de Villa,No especificado,LIMA,LIMA,CHORRILLOS,150108.0,LOCAL,ADULTO,20221231,38,0,0,20240527,1 día,2022,12
PN Huascarán,Huaripampa,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20230131,0,40,0,20240527,2 a 3 días,2023,1
SN de Ampay,Ruta única,APURIMAC,ABANCAY,TAMBURCO,30109.0,NACIONAL,MENOR,20220131,2,0,0,20240527,1 día,2022,1
RN Pacaya-Samiria,Tibilo,LORETO,LORETO,PARINARI,160302.0,EXTRANJERO,ADULTO,20220930,0,24,33,20240527,3 a 30 días,2022,9
SN de Calipuy,Mirador Puya Raimondi,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,131001.0,EXTRANJERO,ADULTO,20230731,1,0,0,20240527,1 día,2023,7
SH Machupicchu,Ruta 03,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,ADULTO,20230731,0,0,51,20240527,3 a 30 días,2023,7
RN Allpahuayo Mishana,Irapay,LORETO,MAYNAS,SAN JUAN BAUTISTA,160113.0,LOCAL,ADULTO,20230731,10,0,0,20240527,1 día,2023,7
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Cavinza e Islotes Palomino,No especificado,No especificado,No especificado,0.0,EXTRANJERO,ADULTO,20220630,667,0,0,20240527,1 día,2022,6
PN Huascarán,Ulta (Pico Mateo),ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20230930,128,37,7,20240527,1 día,2023,9
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,NACIONAL,ADULTO MAYOR,20221031,32,0,0,20240527,1 día,2022,10
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,LOCAL,ADULTO MAYOR,20230731,13,0,0,20240527,1 día,2023,7
BP Alto Mayo,Ruta de las aves,SAN MARTIN,RIOJA,PARDO MIGUEL,220805.0,EXTRANJERO,ADULTO,20230630,17,0,0,20240527,1 día,2023,6
SH Machupicchu,Ruta 01,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,INFANTE,20220831,0,0,1,20240527,3 a 30 días,2022,8
RN Pacaya-Samiria,Yanayacu Pucate,LORETO,LORETO,PARINARI,160302.0,NACIONAL,MENOR,20221031,10,0,0,20240527,1 día,2022,10
RP Nor Yauyos-Cochas,Norte,LIMA,YAUYOS,HUANCAYA,151014.0,LOCAL,MENOR,20230430,48,0,0,20240527,1 día,2023,4
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,LOCAL,INFANTE,20230731,531,0,0,20240527,1 día,2023,7
PN Huascarán,Llaca,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,MENOR,20230131,2,11,0,20240527,2 a 3 días,2023,1
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Ballestas,No especificado,No especificado,No especificado,0.0,LOCAL,ADULTO,20230930,471,0,0,20240527,1 día,2023,9
RN Pacaya-Samiria,Yanayacu,LORETO,LORETO,PARINARI,160302.0,EXTRANJERO,ADULTO,20230331,10,130,23,20240527,2 a 3 días,2023,3
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,LOCAL,INFANTE,20220131,523,0,0,20240527,1 día,2022,1
PN del Manu,Alto Andino,MADRE DE DIOS,MANU,MANU,170201.0,LOCAL,ADULTO,20220531,46,0,0,20240527,1 día,2022,5
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,LOCAL,INFANTE,20230131,525,0,0,20240527,1 día,2023,1
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,LOCAL,MENOR,20221231,1301,0,0,20240527,1 día,2022,12
PN Huascarán,Carpa,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,ADULTO,20230930,52,0,0,20240527,1 día,2023,9
RP Nor Yauyos-Cochas,Norte,LIMA,YAUYOS,HUANCAYA,151014.0,EXTRANJERO,ADULTO MAYOR,20230131,4,0,0,20240527,1 día,2023,1
PN del Manu,Río Manu,MADRE DE DIOS,MANU,MANU,170201.0,NACIONAL,ADULTO,20230430,0,7,0,20240527,2 a 3 días,2023,4
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,LOCAL,INFANTE,20230331,10,0,0,20240527,1 día,2023,3
PN Huascarán,Llanganuco,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,ADULTO,20220430,6326,6,1891,20240527,1 día,2022,4
PN Huascarán,Llanganuco,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,MENOR,20220430,752,0,0,20240527,1 día,2022,4
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,NACIONAL,ADULTO MAYOR,20230430,259,0,0,20240527,1 día,2023,4
RP Nor Yauyos-Cochas,Centro,LIMA,YAUYOS,HUANCAYA,151014.0,LOCAL,ADULTO MAYOR,20230731,18,26,0,20240527,2 a 3 días,2023,7
SH de Chacamarca,No especificado,JUNIN,JUNIN,JUNIN,120501.0,LOCAL,MENOR,20230831,5,0,0,20240527,1 día,2023,8
PN Yanachaga-Chemillén,Huampal,PASCO,OXAPAMPA,PALCAZU,190304.0,EXTRANJERO,ADULTO,20221231,3,4,0,20240527,2 a 3 días,2022,12
RN del Titicaca,Titino,PUNO,HUANCANE,HUANCANE,210601.0,NACIONAL,ADULTO,20230531,110,0,0,20240527,1 día,2023,5
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,LOCAL,ADULTO,20230228,303,0,0,20240527,1 día,2023,2
SH Machupicchu,Ruta 02,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,INFANTE,20230930,0,0,18,20240527,3 a 30 días,2023,9
RN Tambopata,La Torre,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,MENOR,20230831,35,7,0,20240527,1 día,2023,8
RN de Lachay,RNL,LIMA,HUAURA,HUACHO,150801.0,NACIONAL,ADULTO,20230630,971,0,0,20240527,1 día,2023,6
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,NACIONAL,ADULTO MAYOR,20220930,20,0,0,20240527,1 día,2022,9
SN los Manglares de Tumbes,No especificado,TUMBES,ZARUMILLA,ZARUMILLA,240301.0,LOCAL,ADULTO,20220630,28,0,0,20240527,1 día,2022,6
RN Allpahuayo Mishana,Irapay,LORETO,MAYNAS,SAN JUAN BAUTISTA,160113.0,NACIONAL,ADULTO,20220831,7,0,0,20240527,1 día,2022,8
ZR Sierra del Divisor,No especificado,UCAYALI,CORONEL PORTILLO,CALLERIA,250101.0,EXTRANJERO,ADULTO,20230731,25,0,0,20240527,1 día,2023,7
RN Pacaya-Samiria,Yanayacu,LORETO,LORETO,PARINARI,160302.0,EXTRANJERO,MENOR,20220831,8,7,0,20240527,1 día,2022,8
"RN Sistema de Islas, Islotes y Puntas Guaneras",Punta Coles,No especificado,No especificado,No especificado,0.0,LOCAL,ADULTO,20220731,61,0,0,20240527,1 día,2022,7
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,LOCAL,ADULTO MAYOR,20230430,9,0,0,20240527,1 día,2023,4
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Ballestas,No especificado,No especificado,No especificado,0.0,NACIONAL,MENOR,20231130,7571,0,0,20240527,1 día,2023,11
RN Tambopata,Malinowsky,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,LOCAL,ADULTO,20230930,3,0,0,20240527,1 día,2023,9
RVS Los Pantanos de Villa,No especificado,LIMA,LIMA,CHORRILLOS,150108.0,NACIONAL,ADULTO MAYOR,20230531,130,0,0,20240527,1 día,2023,5
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,ADULTO MAYOR,20230228,13,0,0,20240527,1 día,2023,2
PN Huascarán,Llanganuco,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO MAYOR,20230831,11,6,0,20240527,1 día,2023,8
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,NACIONAL,ADULTO MAYOR,20220131,724,0,0,20240527,1 día,2022,1
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,NACIONAL,MENOR,20230430,103,0,0,20240527,1 día,2023,4
PN del Manu,Río Manu,MADRE DE DIOS,MANU,MANU,170201.0,EXTRANJERO,ADULTO,20220331,0,21,0,20240527,2 a 3 días,2022,3
RN San Fernando,No especificado,ICA,NASCA,CHANGUILLO,110302.0,EXTRANJERO,ADULTO,20220131,19,0,0,20240527,1 día,2022,1
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,LOCAL,MENOR,20220930,896,0,0,20240527,1 día,2022,9
SH Machupicchu,Acceso Amazónico,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,NACIONAL,ADULTO,20231031,983,0,0,20240527,1 día,2023,10
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,EXTRANJERO,ADULTO,20221031,109,0,0,20240527,1 día,2022,10
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,EXTRANJERO,ADULTO,20230630,3727,0,0,20240527,1 día,2023,6
SH Machupicchu,Acceso Amazónico,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,NACIONAL,ADULTO,20231130,818,0,0,20240527,1 día,2023,11
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,NACIONAL,ADULTO,20220131,515,0,0,20240527,1 día,2022,1
PN de Cutervo,No especificado,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,60612.0,NACIONAL,ADULTO,20230131,2,0,0,20240527,1 día,2023,1
PN del Río Abiseo,No especificado,SAN MARTIN,MARISCAL CACERES,HUICUNGO,220603.0,EXTRANJERO,ADULTO,20220930,0,1,0,20240527,2 a 3 días,2022,9
SN Pampa Hermosa,No especificado,JUNIN,CHANCHAMAYO,CHANCHAMAYO,120301.0,LOCAL,MENOR,20220731,7,0,0,20240527,1 día,2022,7
SN de Ampay,No especificado,APURIMAC,ABANCAY,TAMBURCO,30109.0,LOCAL,ADULTO MAYOR,20230331,2,0,0,20240527,1 día,2023,3
PN del Manu,Alto Andino,MADRE DE DIOS,MANU,MANU,170201.0,LOCAL,ADULTO,20230531,103,0,0,20240527,1 día,2023,5
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,EXTRANJERO,ADULTO,20220831,5003,0,0,20240527,1 día,2022,8
PN del Manu,Río Manu,MADRE DE DIOS,MANU,MANU,170201.0,LOCAL,ADULTO,20221031,3,0,0,20240527,1 día,2022,10
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,MENOR,20220630,929,0,0,20240527,1 día,2022,6
RN Pampa Galeras Barbara D' Achille,No especificado,AYACUCHO,LUCANAS,LUCANAS,50611.0,LOCAL,MENOR,20220630,2,0,0,20240527,1 día,2022,6
PN del Río Abiseo,No especificado,SAN MARTIN,MARISCAL CACERES,HUICUNGO,220603.0,EXTRANJERO,ADULTO,20220831,0,1,0,20240527,2 a 3 días,2022,8
RVS Los Pantanos de Villa,No especificado,LIMA,LIMA,CHORRILLOS,150108.0,NACIONAL,ADULTO,20220731,3519,0,0,20240527,1 día,2022,7
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,LOCAL,ADULTO MAYOR,20221231,1410,0,0,20240527,1 día,2022,12
RN Pacaya-Samiria,Nauta Caño,LORETO,LORETO,PARINARI,160302.0,NACIONAL,ADULTO MAYOR,20220228,4,7,0,20240527,2 a 3 días,2022,2
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,LOCAL,ADULTO,20230131,91,0,0,20240527,1 día,2023,1
RP Nor Yauyos-Cochas,Norte,LIMA,YAUYOS,HUANCAYA,151014.0,EXTRANJERO,ADULTO,20230731,207,0,0,20240527,1 día,2023,7
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,EXTRANJERO,ADULTO,20221031,31,0,0,20240527,1 día,2022,10
PN Huascarán,Llanganuco (Laguna 69),ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,ADULTO,20230331,52,0,0,20240527,1 día,2023,3
ZR Sierra del Divisor,No especificado,UCAYALI,CORONEL PORTILLO,CALLERIA,250101.0,NACIONAL,ADULTO,20230131,41,0,0,20240527,1 día,2023,1
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,NACIONAL,ADULTO,20230831,7506,0,0,20240527,1 día,2023,8
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,NACIONAL,INFANTE,20230731,167,0,0,20240527,1 día,2023,7
RP Nor Yauyos-Cochas,Centro,LIMA,YAUYOS,HUANCAYA,151014.0,EXTRANJERO,ADULTO,20230531,0,67,0,20240527,2 a 3 días,2023,5
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,LOCAL,MENOR,20220731,1359,0,0,20240527,1 día,2022,7
RP Nor Yauyos-Cochas,Centro,LIMA,YAUYOS,HUANCAYA,151014.0,EXTRANJERO,ADULTO,20230731,49,776,0,20240527,2 a 3 días,2023,7
"RN Sistema de Islas, Islotes y Puntas Guaneras",Punta Coles,No especificado,No especificado,No especificado,0.0,NACIONAL,ADULTO MAYOR,20230731,1,0,0,20240527,1 día,2023,7
PN Yanachaga-Chemillén,San Alberto,PASCO,OXAPAMPA,PALCAZU,190304.0,NACIONAL,MENOR,20220228,1,0,0,20240527,1 día,2022,2
PN Huascarán,Cashapampa,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20230531,62,0,0,20240527,1 día,2023,5
PN Huascarán,Churup,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20221031,910,0,0,20240527,1 día,2022,10
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,NACIONAL,ADULTO MAYOR,20221031,99,0,0,20240527,1 día,2022,10
RN Tambopata,Malinowsky,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,ADULTO MAYOR,20220731,20,0,14,20240527,1 día,2022,7
"RN Sistema de Islas, Islotes y Puntas Guaneras",Isla Ballestas,No especificado,No especificado,No especificado,0.0,NACIONAL,ADULTO,20220228,46835,0,0,20240527,1 día,2022,2
RN Tambopata,La Torre,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,MENOR,20231130,3,0,0,20240527,1 día,2023,11
"RN Sistema de Islas, Islotes y Puntas Guaneras",Punta San Juan,No especificado,No especificado,No especificado,0.0,LOCAL,ADULTO,20220131,16,0,0,20240527,1 día,2022,1
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,NACIONAL,INFANTE,20220228,31,0,0,20240527,1 día,2022,2
PN de Tingo María,Tres de Mayo,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,ADULTO,20230430,24,0,0,20240527,1 día,2023,4
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,LOCAL,INFANTE,20230131,4,0,0,20240527,1 día,2023,1
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,LOCAL,INFANTE,20230930,85,0,0,20240527,1 día,2023,9
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,EXTRANJERO,ADULTO MAYOR,20221031,2,0,0,20240527,1 día,2022,10
PN Huascarán,Churup,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20231031,0,232,32,20240527,2 a 3 días,2023,10
PN del Manu,Alto Andino,MADRE DE DIOS,MANU,MANU,170201.0,NACIONAL,ADULTO,20220331,1,0,0,20240527,1 día,2022,3
"RN Sistema de Islas, Islotes y Puntas Guaneras",Punta Coles,No especificado,No especificado,No especificado,0.0,LOCAL,MENOR,20220531,165,0,0,20240527,1 día,2022,5
RN San Fernando,No especificado,ICA,NASCA,CHANGUILLO,110302.0,EXTRANJERO,ADULTO,20221130,31,0,0,20240527,1 día,2022,11
PN Huascarán,Llaca,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20220430,40,35,7,20240527,1 día,2022,4
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,NACIONAL,ADULTO MAYOR,20220731,342,0,0,20240527,1 día,2022,7
PN Yanachaga-Chemillén,San Alberto,PASCO,OXAPAMPA,PALCAZU,190304.0,NACIONAL,MENOR,20230430,5,0,0,20240527,1 día,2023,4
PN Yanachaga-Chemillén,San Alberto,PASCO,OXAPAMPA,PALCAZU,190304.0,NACIONAL,MENOR,20220131,1,0,0,20240527,1 día,2022,1
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,NACIONAL,ADULTO,20220531,156,0,0,20240527,1 día,2022,5
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,ADULTO,20230131,464,13,0,20240527,1 día,2023,1
PN Huascarán,Purhuay,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,ADULTO,20230228,75,0,0,20240527,1 día,2023,2
PN Yanachaga-Chemillén,San Alberto,PASCO,OXAPAMPA,PALCAZU,190304.0,LOCAL,ADULTO,20230731,40,3,0,20240527,1 día,2023,7
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,NACIONAL,ADULTO,20221130,825,22,1,20240527,1 día,2022,11
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,NACIONAL,ADULTO MAYOR,20230531,1016,0,0,20240527,1 día,2023,5
PN del Río Abiseo,No especificado,SAN MARTIN,MARISCAL CACERES,HUICUNGO,220603.0,NACIONAL,ADULTO,20230831,19,28,0,20240527,2 a 3 días,2023,8
RN Tambopata,Malinowsky,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,NACIONAL,ADULTO MAYOR,20230630,6,0,0,20240527,1 día,2023,6
SH de Chacamarca,No especificado,JUNIN,JUNIN,JUNIN,120501.0,NACIONAL,ADULTO,20220228,5,0,0,20240527,1 día,2022,2
PN Huascarán,Churup,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20230630,543,43,58,20240527,1 día,2023,6
PN de Tingo María,Tres de Mayo,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,LOCAL,MENOR,20220831,66,0,0,20240527,1 día,2022,8
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,LOCAL,INFANTE,20221031,50,0,0,20240527,1 día,2022,10
